AT4G12550	AT1G18280
AT4G38740	AT3G43230
AT3G16340	AT1G64820
AT5G41210	AT1G49860
AT5G13280	AT2G45440
AT4G12530	AT3G53980
AT1G73560	AT1G12100
AT4G19680	AT2G32270
ATMG00513	AT2G24190
AT5G45840	AT4G23740
AT5G51560	AT1G25320
AT5G58300	AT1G34110
AT5G06820	AT2G23300
AT2G28210	AT1G19570
AT3G04790	AT1G71100
AT5G02430	AT3G29350
AT5G52040	AT3G61860
AT5G47780	AT4G16600
AT2G32890	AT2G32835
AT5G64930	AT3G51770
AT4G34000	AT1G54410
AT2G22930	AT1G64910
AT5G65980	AT1G77690
AT3G10160	AT1G08065
AT3G43190	AT1G79550
AT4G27160	AT1G48750
AT3G23050	AT1G29450
AT4G37590	AT3G08660
AT4G11330	AT1G18150
AT5G41240	AT1G10370
AT1G75930	AT1G75890
AT5G53120	AT3G02470
AT3G04735	AT2G33130
AT5G02810	AT3G01320
AT5G07520	AT1G48990
AT4G38530	AT4G37070
AT5G65940	AT2G33150
AT5G25510	AT1G06225
AT4G12980	AT3G44290
AT2G15470	AT1G05650
AT5G56040	AT5G43020
AT4G35520	AT1G65070
AT3G03830	AT1G80390
AT5G58560	AT3G60620
AT3G01420	AT1G73680
AT4G18100	AT2G20450
AT5G40890	AT5G33280
AT5G22220	AT1G28300
AT5G13530	AT1G70320
AT5G22220	AT1G21910
AT5G01870	AT4G22470
AT2G35710	AT1G66520
AT3G12890	AT2G36270
AT5G51470	AT2G22670
AT5G53890	AT1G31420
AT5G46630	AT4G16143
AT4G16160	AT2G45070
AT5G58465	AT4G17788
AT2G46770	AT1G76420
AT5G47560	AT4G22840
AT4G14220	AT1G10560
AT5G53590	AT3G61900
AT3G13672	AT1G33280
AT1G54940	AT1G26190
AT3G61490	AT1G15380
AT3G25110	AT1G79750
AT5G37870	AT4G28500
AT5G23310	AT1G12520
AT4G12410	AT1G48660
AT5G37900	AT1G65910
AT5G53950	AT5G22290
AT4G00400	AT2G19450
AT5G05580	AT2G29980
AT4G18710	AT1G77720
AT5G64670	AT2G34480
AT3G51810	AT3G22850
AT3G48570	AT1G26690
AT5G20820	AT1G19840
AT1G68400	AT1G66830
AT5G56040	AT1G31420
AT5G60620	AT2G01180
AT3G54140	AT3G25260
AT4G24400	AT4G08500
AT1G64400	AT1G01610
AT4G34780	AT1G51950
AT3G10480	AT1G32870
AT5G28750	AT1G17530
AT5G57420	AT4G34800
AT5G43700	AT2G18010
AT2G46505	AT2G02050
AT2G35530	AT1G16490
AT5G56280	AT5G42270
AT5G62000	AT1G27730
AT5G43700	AT5G18020
AT3G58740	AT2G46390
AT4G19710	AT1G10070
AT5G51820	AT1G13440
AT5G60620	AT3G18000
AT3G20310	AT2G46790
AT2G41850	AT2G40310
AT4G30950	AT2G22230
ATMG01190	AT3G45640
AT3G21650	AT2G37670
AT3G16520	AT1G07240
AT4G29910	AT1G66730
AT2G41460	AT1G28520
AT5G10160	AT3G05020
AT2G34480	AT1G52980
AT4G32690	AT2G46690
AT5G62380	AT2G41980
AT5G43935	AT1G35190
AT1G76550	AT1G22430
AT5G57440	AT2G38740
AT4G35640	AT3G03630
AT4G00400	AT1G73600
AT3G47833	AT1G16700
AT3G24612	AT1G32385
AT4G34620	AT4G02230
AT2G27860	AT1G22440
AT3G45280	AT1G60780
AT3G62170	AT3G49220
AT5G63680	AT3G55440
AT1G73730	AT1G28370
AT3G43920	AT1G14650
AT3G17020	AT1G29390
AT5G59310	AT3G22120
AT3G06580	AT1G08200
AT5G35620	AT4G20980
AT5G06460	AT2G20160
AT2G43790	AT1G09740
AT5G17050	AT4G15280
AT3G60961	AT1G14250
AT4G05320	AT1G53950
AT5G42740	AT2G29560
AT5G19760	AT4G01100
AT3G11400	AT1G13950
AT5G03770	AT1G54940
AT4G09530	AT4G00880
AT2G17295	AT1G03506
AT5G64630	AT5G08780
AT2G22670	AT2G21220
AT5G02610	AT4G26230
AT5G41090	AT4G16750
AT5G59160	AT4G31750
AT1G26670	AT1G08560
AT3G51310	AT1G02690
AT4G28500	AT4G26640
AT3G51850	AT1G56720
AT5G67590	AT5G66510
AT4G15280	AT1G07260
AT3G23230	AT1G15360
AT5G42600	AT4G15370
AT5G64800	AT5G58670
AT3G52120	AT1G28090
AT5G67050	AT1G02660
AT5G45780	AT5G41180
AT5G46420	AT4G34730
AT4G01520	AT1G66650
AT5G09690	AT1G60960
AT5G67280	AT3G02130
AT3G23610	AT1G64040
AT3G11400	AT1G10840
AT5G63640	AT3G48570
AT2G31083	AT1G73965
AT5G13640	AT2G26560
AT4G26640	AT1G64280
AT4G15280	AT2G15490
AT3G07830	AT2G43890
AT4G31990	AT1G72810
AT4G28540	AT4G05150
AT5G17290	AT1G54210
AT3G10480	AT1G26870
AT1G80160	AT1G05650
AT5G03740	AT2G32700
AT4G38570	AT3G57650
AT2G36790	AT1G05680
AT5G37890	AT3G04070
AT5G63680	AT2G36460
AT5G12990	AT4G32160
AT3G59010	AT2G26440
AT5G58700	AT1G63245
AT4G01540	AT3G15510
AT5G63680	AT1G71100
AT5G56630	AT2G01140
AT3G46510	AT1G49210
AT5G53890	AT2G27060
AT3G51810	AT3G50790
AT3G43230	AT3G20410
AT4G27260	AT2G36210
AT3G48590	AT2G22430
AT3G17840	AT2G36570
AT5G07430	AT2G19150
AT5G53320	AT2G15300
AT5G13370	AT3G15540
AT3G58040	AT1G03490
AT2G47750	AT2G37030
AT1G53680	AT1G27130
AT4G39363	AT3G13525
AT4G17490	AT1G73730
AT4G36110	AT1G75590
AT4G38250	AT1G67640
AT4G26270	AT1G72000
AT5G43870	AT3G56070
AT3G08790	AT1G60970
AT5G56040	AT2G25790
AT3G21870	AT2G26430
AT3G22570	AT2G10940
AT3G58060	AT3G14070
AT4G39260	AT2G37170
AT5G54770	AT3G14990
AT4G17260	AT1G06730
AT4G01550	AT3G15510
AT5G45190	AT4G03270
AT5G22950	AT1G03950
AT5G50230	AT3G18400
AT5G53470	AT2G15325
AT5G54740	AT4G27780
AT3G05490	AT2G19020
AT5G56040	AT1G06840
AT3G11440	AT2G36830
AT3G16380	AT1G72340
AT5G57690	AT4G30340
ATCG00710	AT1G06680
AT1G70500	AT1G05310
AT4G09020	AT3G47040
AT2G21790	AT1G63660
AT3G58680	AT2G20570
AT3G10140	AT3G05480
ATMG00070	AT4G32210
AT2G42290	AT1G25320
AT5G14220	AT4G27440
AT5G42020	AT5G12020
AT4G35790	AT1G61850
AT4G22540	AT1G15240
AT1G19090	AT1G18150
AT5G64920	AT3G05200
AT5G49070	AT2G46720
AT5G20230	AT4G39640
AT4G35490	AT1G29070
AT5G13790	AT2G46790
AT2G33860	AT2G24400
AT3G51200	AT1G04100
AT4G32690	AT1G48670
AT4G00585	AT1G67350
AT5G44286	AT4G39363
AT3G59920	AT3G04800
AT5G39740	AT5G06360
AT5G20820	AT2G47750
AT2G46690	AT2G24400
AT5G62000	AT1G06920
AT3G16785	AT3G15730
AT1G66630	AT1G02220
AT5G43210	AT3G18630
AT3G15640	AT3G03100
AT5G47560	AT4G10310
AT5G41990	AT1G56720
AT4G15770	AT3G22230
AT5G55120	AT5G17530
AT1G75800	AT1G75050
AT5G18200	AT3G48950
AT5G16390	AT1G36180
AT4G15520	AT3G12990
AT3G60690	AT2G21200
AT3G06030	AT1G65790
AT5G03280	AT4G39640
AT5G53530	AT2G18260
AT4G27160	AT3G07450
AT5G22650	AT1G13260
AT3G55650	AT2G21330
AT4G34030	AT1G10060
AT5G44070	AT4G10380
AT3G13690	AT1G68330
AT1G23160	AT1G04250
ATCG00270	AT5G64380
AT4G14740	AT3G55940
AT3G26650	AT2G36530
AT3G18710	AT1G57820
AT5G22290	AT2G42400
AT4G19860	AT1G55180
AT1G69320	AT1G29800
AT3G06680	AT1G29965
AT5G65670	AT3G20220
AT4G38970	AT1G44575
AT5G20290	AT1G29071
AT5G23450	AT4G28130
AT3G04060	AT1G54330
AT5G63790	AT2G24430
AT3G62410	AT3G12780
AT5G17260	AT1G02220
AT3G59070	AT3G04060
AT4G25560	AT4G01540
AT5G04900	AT1G19670
AT4G33760	AT3G46100
AT1G20110	AT1G15240
AT3G17520	AT2G46140
AT5G49450	AT2G47190
AT1G18640	AT1G17745
AT4G36450	AT4G01595
AT5G51940	AT4G34530
AT1G23310	AT1G19580
AT4G32551	AT4G18470
AT4G33260	AT3G54930
AT3G62110	AT1G23190
AT3G52180	AT1G17720
AT5G01330	AT2G21330
AT3G57080	AT1G61700
AT4G02660	AT1G63245
AT4G36180	AT3G46370
AT5G54190	AT3G59400
AT5G47440	AT1G03060
AT5G09330	AT1G65910
AT5G24120	AT4G31720
AT4G34810	AT1G43040
AT5G18110	AT3G07920
AT5G51820	AT1G50460
ATCG00480	AT1G15700
AT1G79520	AT1G54115
AT5G50600	AT4G25850
AT5G58300	AT2G28970
AT5G23690	AT4G17610
AT5G22240	AT4G05420
AT3G49680	AT3G06850
AT2G44840	AT1G28160
AT5G18270	AT4G17280
AT5G60980	AT2G38940
AT3G56340	AT1G52300
AT4G25970	AT1G62430
AT4G31920	AT3G56380
AT4G25420	AT2G32460
AT3G07680	AT1G60780
ATMG00513	AT4G32210
AT5G03850	AT3G60245
AT5G50230	AT1G02250
AT2G25540	AT1G23210
AT2G33160	AT2G15460
AT3G59070	AT1G64105
AT3G10780	AT3G05710
AT5G27870	AT2G21610
AT5G54740	AT2G38540
AT5G22510	AT3G04120
AT4G36000	AT1G73680
AT5G35180	AT4G22540
AT3G03050	AT1G22880
AT5G52020	AT4G23810
AT5G48750	AT1G01010
AT3G16500	AT3G12830
AT5G44190	AT1G71930
AT4G03205	AT1G03475
AT1G42970	AT1G22440
AT5G20910	AT4G14220
AT5G24160	AT4G22753
AT3G03310	AT3G01420
AT1G66610	AT1G01010
AT5G20490	AT4G33200
AT5G20820	AT4G29080
AT4G31320	AT2G33310
AT5G63300	AT1G24240
AT2G38410	AT2G18260
AT1G68300	AT1G29390
AT5G53320	AT2G23300
AT5G47435	AT3G27440
AT5G52840	AT2G20360
AT2G31660	AT1G11570
AT1G49860	AT1G10370
AT5G49780	AT3G03770
AT5G58670	AT1G73200
AT4G10340	AT1G52230
AT4G37930	AT3G54420
AT5G55410	AT3G51590
ATMG00580	AT3G22370
AT3G24612	AT1G75166
AT1G72750	AT1G19970
AT5G64380	AT1G05650
AT2G45790	AT2G25870
AT4G05180	AT1G12900
AT4G01550	AT1G69120
AT5G20480	AT1G12460
AT4G40090	AT1G03120
AT5G63710	AT5G43020
AT5G16390	AT1G74960
AT4G35410	AT1G75850
AT3G43230	AT1G02340
AT5G06820	AT1G60630
AT3G50230	AT2G31880
AT4G25480	AT4G25470
AT5G18200	AT1G78400
AT4G01370	AT1G68300
AT4G18270	AT2G31100
AT5G08020	AT3G20540
AT5G39550	AT2G42620
AT1G68795	AT1G20110
AT3G55630	AT2G21550
AT4G32300	AT1G01540
AT2G40116	AT2G01505
AT3G61490	AT3G42950
AT5G44610	AT5G13840
AT2G32610	AT2G25540
AT5G64770	AT4G37720
AT5G06760	AT4G30650
AT4G36220	AT3G19450
